"entity_id",Wikidata diff,"Reference","calendar of date in DB",date of edit,user,bot (y/n),property"Q37217",https://www.wikidata.org/w/index.php?title=Q37217&diff=155717584&oldid=149466221,https://de.wikipedia.org/wiki/Fjodor_Iwanowitsch_Tjuttschew,greg,"04:37, 4 September 2014",Vlsergey,y,
Q134646,https://www.wikidata.org/w/index.php?title=Q134646&diff=54572032&oldid=54572004,https://en.wikipedia.org/wiki/Pope_Boniface_VIII,greg,"18:51, 6 July 2013",Denny,n,P39 / start time
Q132545,https://www.wikidata.org/w/index.php?title=Q132545&diff=103442606&oldid=103442220,enwiki,greg,"17:48, 19 January 2014",GautierPoupeau,n,P39 / end time
Q132793,https://www.wikidata.org/w/index.php?title=Q132793&diff=60573764&oldid=60573732,https://de.wikipedia.org/wiki/Lucius_I.,jul,"20:01, 21 July 2013",Denny,n,P570 (date of death)
Q132793,https://www.wikidata.org/w/index.php?title=Q132793&diff=60573513&oldid=60573472,https://de.wikipedia.org/wiki/Lucius_I.,jul,"19:59, 21 July 2013",Denny,n,P39 / start time
Q129857,https://www.wikidata.org/w/index.php?title=Q129857&diff=103440391&oldid=102855868,https://de.wikipedia.org/wiki/Franz_I._%28Frankreich%29,greg,"17:41, 19 January 2014",GautierPoupeau,n,P39 / start time
Q129857,https://www.wikidata.org/w/index.php?title=Q129857&diff=103440391&oldid=102855868,https://de.wikipedia.org/wiki/Franz_I._%28Frankreich%29,greg,"17:41, 19 January 2014",GautierPoupeau,n,P39 / end time
Q153080,https://www.wikidata.org/w/index.php?title=Q153080&diff=93671404&oldid=93671313,https://de.wikipedia.org/wiki/Ludwig_der_Deutsche,jul,"19:35, 15 December 2013",JeLuF,n,P35 / end
Q199612,https://www.wikidata.org/w/index.php?title=Q199612&diff=56579671&oldid=56579595,https://en.wikipedia.org/wiki/Pope_Vitalian,greg,"20:35, 11 July 2013",Denny,n,P570 (date of death)
Q199612,https://www.wikidata.org/w/index.php?title=Q199612&diff=56579520&oldid=56579384,https://en.wikipedia.org/wiki/Pope_Vitalian,greg,"20:35, 11 July 2013",Denny,n,P39 / start
Q746271,https://www.wikidata.org/w/index.php?title=Q746271&diff=92937333&oldid=92937191,https://hu.wikipedia.org/wiki/Szentgotth%C3%A1rdi_ciszterci_ap%C3%A1ts%C3%A1g,greg,"11:11, 12 December 2013",Laurent Jerry,n,P611 / start
